COHORTE,COLOMBIA GRANTEES - US UNIVERSITY,UNIVERSITY 1
1979,Columbia U. In the city of new york,U. Javeriana
1979,Suny at albany,U. Santiago de cali
1979,Suny stony brook,U. De antioquia
1979,U. Of maryland - college park,U. Del valle
1979,Temple U.,U. Pedagogica nal.
1979,Suny stony brook,U. Javeriana
1979,U.n.j.,U. Nal. De Col.
1979,Suny stony brook,U. Pontificia bolivariana
1979,U. Of illinois at urbana-champaign,U. Pontificia bolivariana
1979,U. Of texas at austin,Colegio mayor de nuestra señora del rosario
